id,code,name,description
l10n_mx_immex_code_pedimento_A1,A1,IMPORTACION O EXPORTACION DEFINITIVA.,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_A3,A3,REGULARIZACION DE MERCANCIAS (IMPORTACION DEFINITIVA). ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_C1,C1,IMPORTACION DEFINITIVA A LA FRANJA FRONTERIZA NORTE Y REGION FRONTERIZA AL AMPARO DEL “DECRETO DE LA FRANJA O REGION FRONTERIZA” (DOF 24/12/2008 Y SUS POSTERIORES MODIFICACIONES). ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_D1,D1,RETORNO POR SUSTITUCION. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_GC,GC,GLOBAL COMPLEMENTARIO. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_K1,K1,DESISTIMIENTO DE REGIMEN Y RETORNO DE MERCANCIAS POR DEVOLUCION. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_L1,L1,PEQUEÑA IMPORTACION DEFINITIVA. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_P1,P1,EEXPEDICION DE MERCANCIAS DE FRANJA FRONTERIZA O REGION FRONTERIZA AL INTERIOR DEL PAIS. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_S2,S2,MPORTACION Y EXPORTACION DE MERCANCIAS PARA RETORNAR EN SU MISMO ESTADO (ARTICULO 86 DE LA LEY). ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_T1,T1,MPORTACION Y EXPORTACION POR EMPRESAS DE MENSAJERIA Y PAQUETERIA. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_VF,VF,IMPORTACION DEFINITIVA DE VEHICULOS USADOS A LA FRANJA O REGION FRONTERIZA NORTE. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_VU,VU,MPORTACION DEFINITIVA DE VEHICULOS USADOS. ,REGIMEN DEFINITIVO
l10n_mx_immex_code_pedimento_G9,G9,TRANSFERENCIA DE MERCANCÍAS DE RECINTO FISCALIZADO ESTRATEGICO NO COLINDANTE CON LA ADUANA (RETIRO VIRTUAL PARA IMPORTACIÓN DEFINTIVA POR RESIDENTES EN TERRITORIO NACIONAL). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V1,V1,TRANSFERENCIAS DE MERCANCIAS (IMPORTACION TEMPORAL VIRTUAL; INTRODUCCION VIRTUAL A DEPOSITO FISCAL O A RECINTO FISCALIZADO ESTRATEGICO; RETORNO VIRTUAL; EXPORTACION VIRTUAL DE PROVEEDORES NACIONALES). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V2,V2,TRANSFERENCIAS DE MERCANCIAS IMPORTADAS CON CUENTA ADUANERA (EXPORTACION E IMPORTACION VIRTUAL). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V5,V5,TRANSFERENCIAS DE MERCANCIAS DE EMPRESAS CERTIFICADAS (RETORNO VIRTUAL PARA IMPORTACION DEFINITIVA). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V6,V6,TRANSFERENCIAS DE MERCANCIAS SUJETAS A CUPO (IMPORTACION DEFINITIVA Y RETORNO VIRTUAL). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V7,V7,TRANSFERENCIAS DEL SECTOR AZUCARERO (EXPORTACION VIRTUAL E IMPORTACION TEMPORAL VIRTUAL). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_V9,V9,TRANSFERENCIAS DE MERCANCIAS POR DONACION (IMPORTACION DEFINITIVA Y RETORNO VIRTUAL). ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_VD,VD,VIRTUALES DIVERSOS. ,OPERACIONES VIRTUALES
l10n_mx_immex_code_pedimento_AD,AD,"IMPORTACION TEMPORAL DE MERCANCIAS DESTINADAS A CONVENCIONES Y CONGRESOS INTERNACIONALES (ARTICULO 106, FRACCION III, INCISO A) DE LA LEY).",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_AJ,AJ,"IMPORTACION Y EXPORTACION TEMPORAL DE ENVASES DE MERCANCIAS (ARTICULOS 106, FRACCION II, INCISO B) Y 116, FRACCION II, INCISO A) DE LA LEY). ",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BA,BA,"IMPORTACION Y EXPORTACION TEMPORAL DE BIENES PARA SER RETORNADOS EN SU MISMO ESTADO. (ARTICULO 106, FRACCIONES II, INCISO A), Y IV, INCISO B) DE LA LEY).",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BB,BB,"EXPORTACION, IMPORTACION Y RETORNOS VIRTUALES. ",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BC,BC,"IMPORTACION Y EXPORTACION TEMPORAL DE MERCANCIAS DESTINADAS A EVENTOS CULTURALES O DEPORTIVOS E INVESTIGACIÓN (ARTICULO 106, FRACCION III, INCISO B Y F DE LA LEY). ",SUPUESTOS DE APLICACION 
