id,code,section,name
l10n_mx_immex_customs_1_0,1,0,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO."
l10n_mx_immex_customs_1_2,1,2,"AEROPUERTO INTERNACIONAL GENERAL JUAN N. ALVAREZ, ACAPULCO, GUERRERO."
l10n_mx_immex_customs_2_0,2,0,"AGUA PRIETA, AGUA PRIETA, SONORA."
l10n_mx_immex_customs_5_0,5,0,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO."
l10n_mx_immex_customs_5_1,5,1,"SUBTENIENTE LOPEZ II “CHACTEMAL”, OTHÓN P. BLANCO, CHETUMAL, QUINTANA ROO."
l10n_mx_immex_customs_6_0,6,0,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE."
l10n_mx_immex_customs_6_3,6,3,"SEYBAPLAYA, CHAMPOTON, CAMPECHE."
l10n_mx_immex_customs_7_0,7,0,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA."
l10n_mx_immex_customs_7_1,7,1,"PUENTE INTERNACIONAL ZARAGOZA-ISLETA, CIUDAD JUAREZ, CHIHUAHUA."
l10n_mx_immex_customs_7_2,7,2,"SAN JERONIMO-SANTA TERESA, CIUDAD JUAREZ, CHIHUAHUA."
l10n_mx_immex_customs_7_3,7,3,"AEROPUERTO INTERNACIONAL ABRAHAM GONZALEZ, CIUDAD JUAREZ, CHIHUAHUA."
l10n_mx_immex_customs_7_4,7,4,"GUADALUPE-TORNILLO, GUADALUPE DE BRAVO, CHIHUAHUA."
l10n_mx_immex_customs_8_0,8,0,"COATZACOALCOS, COATZACOALCOS, VERACRUZ."
l10n_mx_immex_customs_11_0,11,0,"ENSENADA, ENSENADA, BAJA CALIFORNIA."
l10n_mx_immex_customs_12_0,12,0,"GUAYMAS, GUAYMAS, SONORA."
l10n_mx_immex_customs_12_1,12,1,"AEROPUERTO INTERNACIONAL GENERAL IGNACIO PESQUEIRA GARCIA, HERMOSILLO, SONORA."
l10n_mx_immex_customs_12_3,12,3,"CIUDAD OBREGON ADYACENTE AL AEROPUERTO DE CIUDAD OBREGON, CAJEME, SONORA."
l10n_mx_immex_customs_14_0,14,0,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_14_2,14,2,"SAN JOSE DEL CABO, LOS CABOS, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_14_3,14,3,"CABO SAN LUCAS, LOS CABOS, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_14_4,14,4,"SANTA ROSALIA, MULEGE, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_14_5,14,5,"LORETO, LORETO, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_14_7,14,7,"PICHILINGÜE, LA PAZ, BAJA CALIFORNIA SUR."
l10n_mx_immex_customs_16_0,16,0,"MANZANILLO, MANZANILLO, COLIMA."
l10n_mx_immex_customs_16_1,16,1,"ARMERÍA, ARMERÍA, COLIMA."
l10n_mx_immex_customs_17_0,17,0,"MATAMOROS, MATAMOROS, TAMAULIPAS."
l10n_mx_immex_customs_17_1,17,1,"LUCIO BLANCO-LOS INDIOS, MATAMOROS, TAMAULIPAS."
l10n_mx_immex_customs_17_2,17,2,SECCION ADUANERA FERROVIARIA DE MATAMOROS.
l10n_mx_immex_customs_17,17,,"PUERTO EL MEZQUITAL, MATAMOROS, TAMAULIPAS."
l10n_mx_immex_customs_17_00,17,,"AEROPUERTO INTERNACIONAL GENERAL SERVANDO CANALES, MATAMOROS, TAMAULIPAS."
l10n_mx_immex_customs_18_0,18,0,"MAZATLAN, MAZATLAN, SINALOA."
l10n_mx_immex_customs_18_3,18,3,"TOPOLOBAMPO, AHOME, SINALOA."
l10n_mx_immex_customs_18_4,18,4,"AEROPUERTO INTERNACIONAL DE CULIACAN, CULIACAN, SINALOA."
l10n_mx_immex_customs_19_0,19,0,"MEXICALI, MEXICALI, BAJA CALIFORNIA."
l10n_mx_immex_customs_19_2,19,2,"LOS ALGODONES, MEXICALI, BAJA CALIFORNIA."
l10n_mx_immex_customs_19_3,19,3,"SAN FELIPE, MEXICALI, BAJA CALIFORNIA."
l10n_mx_immex_customs_20_0,20,0,"MÉXICO, CIUDAD DE MÉXICO."
l10n_mx_immex_customs_20_2,20,2,"IMPORTACION Y EXPORTACION DE CONTENEDORES, DELEGACION AZCAPOTZALCO, CIUDAD DE MÉXICO."
l10n_mx_immex_customs_22_0,22,0,"NACO, NACO, SONORA."
l10n_mx_immex_customs_23_0,23,0,"NOGALES, NOGALES, SONORA."
l10n_mx_immex_customs_23_1,23,1,"SASABE, SARIC, SONORA."
l10n_mx_immex_customs_24_0,24,0,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS."
l10n_mx_immex_customs_24_2,24,,"ESTACION SANCHEZ, NUEVO LAREDO, TAMAULIPAS"
l10n_mx_immex_customs_24_1,24,,"AEROPUERTO INTERNACIONAL DE NUEVO LAREDO “QUETZALCOATL”, NUEVO LAREDO, TAMAULIPAS."
l10n_mx_immex_customs_25_0,25,0,"OJINAGA, OJINAGA, CHIHUAHUA."
l10n_mx_immex_customs_26_0,26,0,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA."
l10n_mx_immex_customs_27_0,27,0,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA."
l10n_mx_immex_customs_27_1,27,1,"AEROPUERTO INTERNACIONAL PLAN DE GUADALUPE, RAMOS ARIZPE, COAHUILA."
l10n_mx_immex_customs_27,27,,"RIO ESCONDIDO, NAVA, COAHUILA."
l10n_mx_immex_customs_28_0,28,0,"PROGRESO, PROGRESO, YUCATAN."
l10n_mx_immex_customs_28_2,28,2,"AEROPUERTO INTERNACIONAL LIC. MANUEL CRESCENCIO REJON, MERIDA, YUCATAN."
l10n_mx_immex_customs_30_0,30,0,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS."
l10n_mx_immex_customs_30_2,30,2,"LAS FLORES, RIO BRAVO, TAMAULIPAS."
l10n_mx_immex_customs_30_4,30,4,"AEROPUERTO INTERNACIONAL GENERAL. LUCIO BLANCO, CIUDAD REYNOSA, TAMAULIPAS."
l10n_mx_immex_customs_30_5,30,5,"RIO BRAVO-DONNA, RIO BRAVO, TAMAULIPAS."
l10n_mx_immex_customs_30_6,30,6,"ANZALDUAS, CIUDAD REYNOSA, TAMAULIPAS."
l10n_mx_immex_customs_31_0,31,0,"SALINA CRUZ, SALINA CRUZ, OAXACA."
l10n_mx_immex_customs_31_1,31,1,"AEROPUERTO INTERNACIONAL DE OAXACA, SANTA CRUZ XOXOCOTLAN, OAXACA."
l10n_mx_immex_customs_33_0,33,0,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA."
l10n_mx_immex_customs_34_0,34,0,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS."
l10n_mx_immex_customs_34_2,34,2,"GUERRERO, GUERRERO, TAMAULIPAS."
l10n_mx_immex_customs_37_0,37,0,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS."
l10n_mx_immex_customs_37_2,37,2,"CIUDAD TALISMAN, TUXTLA CHICO, CHIAPAS."
l10n_mx_immex_customs_37_6,37,6,"CIUDAD CUAUHTEMOC, FRONTERA COMALAPA, CHIAPAS."
l10n_mx_immex_customs_37_5,37,5,"PUERTO CHIAPAS, TAPACHULA, CHIAPAS."
l10n_mx_immex_customs_37,37,,"AEROPUERTO INTERNACIONAL DE TAPACHULA, TAPACHULA, CHIAPAS."
l10n_mx_immex_customs_38_0,38,0,"TAMPICO, TAMPICO, TAMAULIPAS."
l10n_mx_immex_customs_39_0,39,0,"TECATE, TECATE, BAJA CALIFORNIA."
l10n_mx_immex_customs_40_0,40,0,"TIJUANA, TIJUANA, BAJA CALIFORNIA."
l10n_mx_immex_customs_40_2,40,2,"AEROPUERTO INTERNACIONAL GENERAL ABELARDO L. RODRIGUEZ, TIJUANA, BAJA CALIFORNIA."
l10n_mx_immex_customs_42_0,42,0,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ."
l10n_mx_immex_customs_42_1,42,1,"TUXPAN, TUXPAN, VERACRUZ."
l10n_mx_immex_customs_43_0,43,0,"VERACRUZ, VERACRUZ, VERACRUZ."
l10n_mx_immex_customs_43_2,43,2,"AEROPUERTO INTERNACIONAL GENERAL HERIBERTO JARA CORONA, VERACRUZ, VERACRUZ."
l10n_mx_immex_customs_44_0,44,0,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA."
l10n_mx_immex_customs_46_0,46,0,"TORREON, TORREON, COAHUILA."
l10n_mx_immex_customs_46_2,46,2,"GOMEZ PALACIO, GOMEZ PALACIO, DURANGO."
l10n_mx_immex_customs_46_3,46,3,"AEROPUERTO INTERNACIONAL GENERAL GUADALUPE VICTORIA, DURANGO, DURANGO."
l10n_mx_immex_customs_46_1,46,1,"AEROPUERTO DE TORREÓN, COAHUILA DE ZARAGOZA."
l10n_mx_immex_customs_47_0,47,0,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO.
l10n_mx_immex_customs_47_1,47,1,"SATELITE, PARA IMPORTACION Y EXPORTACION POR VIA AEREA, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO."
l10n_mx_immex_customs_47_2,47,2,"CENTRO POSTAL MECANIZADO, POR VIA POSTAL Y POR TRAFICO AEREO, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO."
l10n_mx_immex_customs_48_0,48,0,"GUADALAJARA, TLAJOMULCO DE ZUÑIGA, JALISCO."
l10n_mx_immex_customs_48_1,48,1,"PUERTO VALLARTA, PUERTO VALLARTA, JALISCO."
l10n_mx_immex_customs_48_4,48,4,"TERMINAL INTERMODAL FERROVIARIA, GUADALAJARA, JALISCO."
l10n_mx_immex_customs_50_0,50,0,"SONOYTA, SONOYTA, SONORA."
l10n_mx_immex_customs_50_1,50,1,"SAN EMETERIO, GENERAL PLUTARCO ELIAS CALLES, SONORA."
l10n_mx_immex_customs_51_0,51,0,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN."
