id,code,name
l10n_mx_immex_customs_regimes_IMD,IMD,DEFINITIVO DE IMPORTACION.
l10n_mx_immex_customs_regimes_EXD,EXD,DEFINITIVO DE EXPORTACION.
l10n_mx_immex_customs_regimes_ITR,ITR,TEMPORALES DE IMPORTACION PARA RETORNAR AL EXTRANJERO EN EL MISMO ESTADO.
l10n_mx_immex_customs_regimes_ITE,ITE,"TEMPORALES DE IMPORTACION PARA ELABORACION, TRANSFORMACION O REPARACION PARA EMPRESAS CON PROGRAMA IMMEX."
l10n_mx_immex_customs_regimes_ETR,ETR,TEMPORALES DE EXPORTACION PARA RETORNAR AL PAIS EN EL MISMO ESTADO.
l10n_mx_immex_customs_regimes_ETE,ETE,"TEMPORALES DE EXPORTACION PARA ELABORACION, TRANSFORMACION O REPARACION."
l10n_mx_immex_customs_regimes_DFI,DFI,DEPOSITO FISCAL.
l10n_mx_immex_customs_regimes_RFE,RFE,"ELABORACION, TRANSFORMACION O REPARACION EN RECINTO FISCALIZADO."
l10n_mx_immex_customs_regimes_TRA,TRA,TRANSITOS.
l10n_mx_immex_customs_regimes_RFS,RFS,RECINTO FISCALIZADO ESTRATEGICO.
