id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_product_category_slider_config,access_product_category_slider_config,model_product_category_slider_config,,1,0,0,0
access_product_brands,access_product_brands,model_product_brands,,1,0,0,0
access_blog_slider_config,access_blog_slider_config,model_blog_slider_config,,1,1,1,1
access_biztech_product_images,access_biztech_product_images,model_biztech_product_images,,1,0,0,0
access_biztech_product_tags,access_biztech_product_tags,model_biztech_product_tags,,1,0,0,0
access_biztech_product_sortby,access_biztech_product_sortby,model_biztech_product_sortby,,1,0,0,0
access_multi_slider_config,access_multi_slider_config,model_multi_slider_config,,1,0,0,0
access_product_per_page_no,access_product_per_page_no,model_product_per_page_no,,1,1,1,1
access_product_per_page,access_product_per_page,model_product_per_page,,1,1,1,1
access_biztech_product_style_tag,access_biztech_product_style_tag,model_biztech_product_style_tag,,1,0,0,0
access_biztech_product_brand,access_biztech_product_brand,model_product_brands,website.group_website_designer,1,1,1,1
access_biztech_product_catagory_slider,access_biztech_product_catagory_slider,model_product_category_slider_config,website.group_website_designer,1,1,1,1
access_biztech_multi_product_slider,access_biztech_multi_product_slider,model_multi_slider_config,website.group_website_designer,1,1,1,1
access_biztech_custom_product_style_tag,access_biztech_custom_product_style_tag,model_biztech_product_style_tag,website.group_website_designer,1,1,1,1
access_biztech_product_sorting,access_biztech_product_sorting,model_biztech_product_sortby,website.group_website_designer,1,1,1,1
access_biztech_custom_product_tags,access_biztech_custom_product_tags,model_biztech_product_tags,website.group_website_designer,1,1,1,1
access_biztech_product_multiple_images,access_biztech_product_multiple_images,model_biztech_product_images,website.group_website_designer,1,1,1,1
access_biztech_website_product_paging,access_biztech_website_product_paging,model_product_per_page,website.group_website_designer,1,1,1,1
access_biztech_theme_view_groups,access_theme_product_view_groups,website_theme_install.model_theme_ir_ui_view,,1,0,0,0



