id,code,name,tire,axles,gvwr
l10n_mx_wbl_autotransport_conf_C2,C2,Camión Unitario (2 llantas en el eje delantero y 4 llantas en el eje trasero),2,6,19.0 
l10n_mx_wbl_autotransport_conf_C3,C3,Camión Unitario (2 llantas en el eje delantero y 6 o 8 llantas en los dos ejes traseros),3,8 o 10,27.5
l10n_mx_wbl_autotransport_conf_C2R2,C2R2,Camión-Remolque (6 llantas en el camión y 8 llantas en remolque),4,14,37.5
l10n_mx_wbl_autotransport_conf_C3R2,C3R2,Camión-Remolque (10 llantas en el camión y 8 llantas en remolque),5,18,44.5
l10n_mx_wbl_autotransport_conf_C2R3,C2R3,Camión-Remolque (6 llantas en el camión y 12 llantas en remolque),5,18,44.5
l10n_mx_wbl_autotransport_conf_C3R3,C3R3,Camión-Remolque (10 llantas en el camión y 12 llantas en remolque),6,22,51.5
l10n_mx_wbl_autotransport_conf_T2S1,T2S1,"Tractocamión Articulado (6 llantas en el tractocamión, 4 llantas en el semirremolque)",3,10,30.0 
l10n_mx_wbl_autotransport_conf_T2S2,T2S2,"Tractocamión Articulado (6 llantas en el tractocamión, 8 llantas en el semirremolque)",4,14,38.0 
l10n_mx_wbl_autotransport_conf_T2S3,T2S3,"Tractocamión Articulado (6 llantas en el tractocamión, 12 llantas en el semirremolque)",5,18,45.5
l10n_mx_wbl_autotransport_conf_T3S1,T3S1,"Tractocamión Articulado (10 llantas en el tractocamión, 4 llantas en el semirremolque)",4,14,38.5
l10n_mx_wbl_autotransport_conf_T3S2,T3S2,"Tractocamión Articulado (10 llantas en el tractocamión, 8 llantas en el semirremolque)",5,18,46.5
l10n_mx_wbl_autotransport_conf_T3S3,T3S3,"Tractocamión Articulado (10 llantas en el tractocamión, 12 llantas en el semirremolque)",6,22,54.0 
l10n_mx_wbl_autotransport_conf_T2S1R2,T2S1R2,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque)",5,18,47.5
l10n_mx_wbl_autotransport_conf_T2S2R2,T2S2R2,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque)",6,22,54.5
l10n_mx_wbl_autotransport_conf_T2S1R3,T2S1R3,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque)",6,22,54.5
l10n_mx_wbl_autotransport_conf_T3S1R2,T3S1R2,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque)",6,22,54.5
l10n_mx_wbl_autotransport_conf_T3S1R3,T3S1R3,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque)",7,26,60.5
l10n_mx_wbl_autotransport_conf_T3S2R2,T3S2R2,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque)",7,26,60.5
l10n_mx_wbl_autotransport_conf_T3S2R3,T3S2R3,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 12 llantas en el remolque)",8,30,63.0 
l10n_mx_wbl_autotransport_conf_T3S2R4,T3S2R4,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 16 llantas en el remolque)",9,34,66.5
l10n_mx_wbl_autotransport_conf_T2S2S2,T2S2S2,"Tractocamión Semirremolque-Semirremolque (6 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",6,22,51.5
l10n_mx_wbl_autotransport_conf_T3S2S2,T3S2S2,"Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",7,26,58.5
l10n_mx_wbl_autotransport_conf_T3S3S2,T3S3S2,"Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 12 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)",8,30,60.0 
l10n_mx_wbl_autotransport_conf_OTROEV,OTROEV,Especializado de Voluminoso,,,
l10n_mx_wbl_autotransport_conf_OTROEGP,OTROEGP,Especializado de Gran Peso,,,
l10n_mx_wbl_autotransport_conf_OTROSG,OTROSG,Servicio de Grúas,,,
l10n_mx_wbl_autotransport_conf_GPLUTA,GPLUTA,Grúa de Pluma Tipo A,,,
l10n_mx_wbl_autotransport_conf_GPLUTB,GPLUTB,Grúa de Pluma Tipo B,,,
l10n_mx_wbl_autotransport_conf_GPLUTC,GPLUTC,Grúa de Pluma Tipo C,,,
l10n_mx_wbl_autotransport_conf_GPLUTD,GPLUTD,Grúa de Pluma Tipo D,,,
l10n_mx_wbl_autotransport_conf_GPLATA,GPLATA,Grúa de Plataforma Tipo A,,,
l10n_mx_wbl_autotransport_conf_GPLATB,GPLATB,Grúa de Plataforma Tipo B,,,
l10n_mx_wbl_autotransport_conf_GPLATC,GPLATC,Grúa de Plataforma Tipo C,,,
l10n_mx_wbl_autotransport_conf_GPLATD,GPLATD,Grúa de Plataforma Tipo D,,,
