id,code,name
l10n_mx_wbl_maritime_conf_B01,B01,Abastecedor
l10n_mx_wbl_maritime_conf_B02,B02,Barcaza
l10n_mx_wbl_maritime_conf_B03,B03,Granelero
l10n_mx_wbl_maritime_conf_B04,B04,Porta Contenedor
l10n_mx_wbl_maritime_conf_B05,B05,Draga
l10n_mx_wbl_maritime_conf_B06,B06,Pesquero
l10n_mx_wbl_maritime_conf_B07,B07,Carga General
l10n_mx_wbl_maritime_conf_B08,B08,Quimiqueros
l10n_mx_wbl_maritime_conf_B09,B09,Transbordadores
l10n_mx_wbl_maritime_conf_B10,B10,Carga RoRo
l10n_mx_wbl_maritime_conf_B11,B11,Investigación
l10n_mx_wbl_maritime_conf_B12,B12,Tanquero
l10n_mx_wbl_maritime_conf_B13,B13,Gasero
l10n_mx_wbl_maritime_conf_B14,B14,Remolcador
l10n_mx_wbl_maritime_conf_B15,B15,Extraordinaria especialización
