id,code,name,country_id,transport_id/id
l10n_mx_wbl_stationsPM001 ,PM001 ,Rosarito,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM002,PM002,La Misión,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM003,PM003,El Sauzal,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM004,PM004,Marina Coral,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM005,PM005,Ensenada,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM006,PM006,Punta China,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM007,PM007,San Quintín,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM008,PM008,Isla Cedros,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM009,PM009,Venustiano Carranza,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM010,PM010,Bahía de los Ángeles,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM011,PM011,Puertecitos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM012,PM012,San Felipe,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM013,PM013,Costa Azul,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM014,PM014,Bahía Colonet,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM015,PM015,La Paz,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM016,PM016,Pichilingue,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM017,PM017,Puerto de Loreto,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM018,PM018,Puerto de Santa Rosalía,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM019,PM019,Puerto Escondido,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM020,PM020,San Carlos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM021,PM021,Cabo San Lucas,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM022,PM022,Guerrero Negro,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM023,PM023,Santa María,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM024,PM024,Isla San Marcos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM025,PM025,Adolfo López Mateos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM026,PM026,San Juan de la Costa,MX,l10n_mx_wbl_transport_02
