id,code,name
l10n_mx_wbl_stcc_products_services_01,01,Productos agrícolas
l10n_mx_wbl_stcc_products_services_011,011,Cultivos de campo
l10n_mx_wbl_stcc_products_services_0112,0112,Algodón en bruto
l10n_mx_wbl_stcc_products_services_01131,01131,Cebada
l10n_mx_wbl_stcc_products_services_01132,01132,Maíz
l10n_mx_wbl_stcc_products_services_01133,01133,Avena
l10n_mx_wbl_stcc_products_services_01134,01134,Arroz
l10n_mx_wbl_stcc_products_services_01135,01135,Centeno
l10n_mx_wbl_stcc_products_services_01136,01136,Sorgo
l10n_mx_wbl_stcc_products_services_01137,01137,Trigo
l10n_mx_wbl_stcc_products_services_01139,01139,Grano
l10n_mx_wbl_stcc_products_services_0114,0114,"Semillas oleaginosas, nueces y granos"
l10n_mx_wbl_stcc_products_services_01144,01144,Soja
l10n_mx_wbl_stcc_products_services_0115,0115,Semillas de campo excluidas semillas oleaginosas
l10n_mx_wbl_stcc_products_services_0119,0119,Cultivos de campo misceláneos
l10n_mx_wbl_stcc_products_services_01193,01193,Tabaco de hoja
l10n_mx_wbl_stcc_products_services_01195,01195,Patatas distintas de las dulces
l10n_mx_wbl_stcc_products_services_01197,01197,Remolacha azucarera
l10n_mx_wbl_stcc_products_services_012,012,Frutas frescas y nueces de árbol
l10n_mx_wbl_stcc_products_services_0121,0121,Frutas cítricas
l10n_mx_wbl_stcc_products_services_0122,0122,Frutos caducifolios
l10n_mx_wbl_stcc_products_services_01221,01221,Manzanas
l10n_mx_wbl_stcc_products_services_01224,01224,Uvas
l10n_mx_wbl_stcc_products_services_01226,01226,Melocotones
l10n_mx_wbl_stcc_products_services_0123,0123,Frutas tropicales excluidos cítricos
l10n_mx_wbl_stcc_products_services_01232,01232,Plátanos
l10n_mx_wbl_stcc_products_services_0129,0129,Varias frutas frescas y nueces
l10n_mx_wbl_stcc_products_services_01295,01295,Café verde
l10n_mx_wbl_stcc_products_services_013,013,Vegetales frescos
l10n_mx_wbl_stcc_products_services_0131,0131,"Bulbos, raíces y tubérculos"
l10n_mx_wbl_stcc_products_services_01318,01318,Cebollas secas
l10n_mx_wbl_stcc_products_services_0133,0133,Verduras frescas de hoja
l10n_mx_wbl_stcc_products_services_01334,01334,Apio
l10n_mx_wbl_stcc_products_services_01335,01335,Lechuga
l10n_mx_wbl_stcc_products_services_0134,0134,"Semillas de verduras maduras secas, etc."
l10n_mx_wbl_stcc_products_services_01341,01341,Frijoles maduros secos
l10n_mx_wbl_stcc_products_services_01342,01342,Guisantes secos
l10n_mx_wbl_stcc_products_services_0139,0139,Verduras frescas varias
l10n_mx_wbl_stcc_products_services_01392,01392,Sandías
l10n_mx_wbl_stcc_products_services_01394,01394,Tomates
l10n_mx_wbl_stcc_products_services_01398,01398,Melones excluyendo sandías
l10n_mx_wbl_stcc_products_services_014,014,Ganadería y ganadería
l10n_mx_wbl_stcc_products_services_0141,0141,Ganado
l10n_mx_wbl_stcc_products_services_01411,01411,Vacas
l10n_mx_wbl_stcc_products_services_01413,01413,"Porcinos, jabalíes y cerdos"
l10n_mx_wbl_stcc_products_services_01414,01414,Ovejas y corderos
l10n_mx_wbl_stcc_products_services_0142,0142,Granja lechera
l10n_mx_wbl_stcc_products_services_0143,0143,Fibras animales
l10n_mx_wbl_stcc_products_services_01431,01431,Lana
l10n_mx_wbl_stcc_products_services_015,015,Aves de corral
l10n_mx_wbl_stcc_products_services_0151,0151,Aves de corral vivas
l10n_mx_wbl_stcc_products_services_0152,0152,Huevos de aves de corral
l10n_mx_wbl_stcc_products_services_019,019,Productos agrícolas varios
l10n_mx_wbl_stcc_products_services_0191,0191,Especialidades hortícolas
l10n_mx_wbl_stcc_products_services_0192,0192,Especialidades animales
l10n_mx_wbl_stcc_products_services_08,08,Productos extranjeros
l10n_mx_wbl_stcc_products_services_084,084,"Gomas y cortezas, crudas"
