id,code,name
l10n_mx_wbl_trailer_type_CTR001,CTR001,Caballete
l10n_mx_wbl_trailer_type_CTR002,CTR002,Caja
l10n_mx_wbl_trailer_type_CTR003,CTR003,Caja Abierta
l10n_mx_wbl_trailer_type_CTR004,CTR004,Caja Cerrada
l10n_mx_wbl_trailer_type_CTR005,CTR005,Caja De Recolección Con Cargador Frontal
l10n_mx_wbl_trailer_type_CTR006,CTR006,Caja Refrigerada
l10n_mx_wbl_trailer_type_CTR007,CTR007,Caja Seca
l10n_mx_wbl_trailer_type_CTR008,CTR008,Caja Transferencia
l10n_mx_wbl_trailer_type_CTR009,CTR009,Cama Baja o Cuello Ganso
l10n_mx_wbl_trailer_type_CTR010,CTR010,Chasis Portacontenedor
l10n_mx_wbl_trailer_type_CTR011,CTR011,Convencional De Chasis
l10n_mx_wbl_trailer_type_CTR012,CTR012,Equipo Especial
l10n_mx_wbl_trailer_type_CTR013,CTR013,Estacas
l10n_mx_wbl_trailer_type_CTR014,CTR014,Góndola Madrina
l10n_mx_wbl_trailer_type_CTR015,CTR015,Grúa Industrial
l10n_mx_wbl_trailer_type_CTR016,CTR016,Grúa 
l10n_mx_wbl_trailer_type_CTR017,CTR017,Integral
l10n_mx_wbl_trailer_type_CTR018,CTR018,Jaula
l10n_mx_wbl_trailer_type_CTR019,CTR019,Media Redila
l10n_mx_wbl_trailer_type_CTR020,CTR020,Pallet o Celdillas
l10n_mx_wbl_trailer_type_CTR021,CTR021,Plataforma
l10n_mx_wbl_trailer_type_CTR022,CTR022,Plataforma Con Grúa
l10n_mx_wbl_trailer_type_CTR023,CTR023,Plataforma Encortinada
l10n_mx_wbl_trailer_type_CTR024,CTR024,Redilas
l10n_mx_wbl_trailer_type_CTR025,CTR025,Refrigerador
l10n_mx_wbl_trailer_type_CTR026,CTR026,Revolvedora
l10n_mx_wbl_trailer_type_CTR027,CTR027,Semicaja
l10n_mx_wbl_trailer_type_CTR028,CTR028,Tanque
l10n_mx_wbl_trailer_type_CTR029,CTR029,Tolva
l10n_mx_wbl_trailer_type_CTR030,CTR030,Tractor
l10n_mx_wbl_trailer_type_CTR031,CTR031,Volteo
l10n_mx_wbl_trailer_type_CTR032,CTR032,Volteo Desmontable
