id,code,name,description,flag
l10n_mx_wbl_unit_weight_Tu,Tu,Contenedor externo,"Tipo de caja de contención que sirve como contenedor de transporte externo, no especificado como equipo de transporte.",Packaging
l10n_mx_wbl_unit_weight_X1A,X1A,Tambor de acero,,Packaging
l10n_mx_wbl_unit_weight_X1B,X1B,Tambor de aluminio,,Packaging
l10n_mx_wbl_unit_weight_X1D,X1D,Tambor contrachapado,,Packaging
l10n_mx_wbl_unit_weight_X1F,X1F,Contenedor flexible,Contenedor de empaque de construcción flexible.,Packaging
l10n_mx_wbl_unit_weight_X1G,X1G,Tambor de fibra,,Packaging
l10n_mx_wbl_unit_weight_X1w,X1w,Tambor de madera,,Packaging
l10n_mx_wbl_unit_weight_X2C,X2C,Barril de madera,,Packaging
l10n_mx_wbl_unit_weight_X3A,X3A,Bidón de acero,,Packaging
l10n_mx_wbl_unit_weight_X3H,X3H,Bidón de plástico,,Packaging
l10n_mx_wbl_unit_weight_X43,X43,Bolsa de gran tamaño,Bolsa de tela de plástico o de papel que tiene las dimensiones del pallet sobre el que está construido.,Packaging
l10n_mx_wbl_unit_weight_X44,X44,Bolsa de plástico,"Un tipo de bolsa de plástico, normalmente utilizada para envolver piezas promocionales, publicaciones, muestras de productos y / o catálogos.",Packaging
l10n_mx_wbl_unit_weight_X4A,X4A,Caja de acero,,Packaging
l10n_mx_wbl_unit_weight_X4B,X4B,Caja de aluminio,,Packaging
l10n_mx_wbl_unit_weight_X4C,X4C,Caja de  madera natural,,Packaging
l10n_mx_wbl_unit_weight_X4D,X4D,Caja de contrachapado,,Packaging
l10n_mx_wbl_unit_weight_X4F,X4F,Caja de madera reconstituida,,Packaging
l10n_mx_wbl_unit_weight_X4G,X4G,Caja de cartón,,Packaging
l10n_mx_wbl_unit_weight_X4H,X4H,Caja de plástico,,Packaging
l10n_mx_wbl_unit_weight_X5H,X5H,Bolsa de plástico tejido,,Packaging
l10n_mx_wbl_unit_weight_X5L,X5L,Bolsa textil,,Packaging
l10n_mx_wbl_unit_weight_X5M,X5M,Bolsa de papel,,Packaging
l10n_mx_wbl_unit_weight_X6H,X6H,"Recipiente de plástico, Contenedor compuesto.",,Packaging
l10n_mx_wbl_unit_weight_X6P,X6P,"Recipiente de vidrio, Contenedor compuesto.",,Packaging
l10n_mx_wbl_unit_weight_X7A,X7A,Estuche para carro,Tipo de contenedor portátil diseñado para almacenar equipo para el transporte en un automóvil.,Packaging
l10n_mx_wbl_unit_weight_X7B,X7B,Estuche de madera,Un estuche de madera para retener sustancias o artículos.,Packaging
l10n_mx_wbl_unit_weight_X8A,X8A,Pallet de madera,"Plataforma o caja abierta de madera, en la que se conservan las mercancías para facilitar su manejo mecánico durante el transporte y almacenamiento.",Packaging
l10n_mx_wbl_unit_weight_X8B,X8B,Cajón de madera,"Un contenedor de madera, en el que se conservan las mercancías para facilitar su manipulación mecánica durante el transporte y almacenamiento.",Packaging
l10n_mx_wbl_unit_weight_X8C,X8C,Madera flejada,Piezas sueltas o sin contenedor de madera atadas o envueltas.,Packaging
l10n_mx_wbl_unit_weight_XAA,XAA,Contenedor intermedio  para gráneles de plástico rígido,,Packaging
l10n_mx_wbl_unit_weight_XAB,XAB,Contenedor de fibra,"Recipiente de contención de fibra, utilizado para retener sustancias o artículos.",Packaging
l10n_mx_wbl_unit_weight_XAC,XAC,Contenedor de papel,"Recipiente de contención de papel, para retener sustancias o artículos.",Packaging
l10n_mx_wbl_unit_weight_XAD,XAD,Contenedor de madera,"Recipiente de contención de madera, para retener sustancias o artículos.",Packaging
l10n_mx_wbl_unit_weight_XAE,XAE,Aerosol,Una unidad de cuenta que define el número de Aerosoles,Packaging
l10n_mx_wbl_unit_weight_XAF,XAF,"Pallet modular con collares,  80cms * 60cms",Pallet de tamaño estándar con dimensiones de 80 centímetros por 60 centímetros (cms).,Packaging
l10n_mx_wbl_unit_weight_XAG,XAG,Pallet o empaquetado,La carga del pallet se asegura con una película de plástico transparente envuelta alrededor y luego encogido firmemente.,Packaging
l10n_mx_wbl_unit_weight_XAH,XAH,"Pallet, 100cms X 110cms",Pallet tamaño estándar con dimensiones de 100 centímetros por 110 centímetros (cms).,Packaging
l10n_mx_wbl_unit_weight_XAI,XAI,Contenedor tipo concha,,Packaging
